性別,年齢区分,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58
M,1,7328 ,0 ,162296 ,4562 ,748 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4053 ,288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,129 ,0 ,5811 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27555 ,0 ,6048 ,0 ,0 ,0 ,0 ,0 ,8296 ,13 ,105 ,18 ,23566 ,0 ,0 ,10142 ,0 ,0 ,0 ,144 
M,2,1210 ,0 ,155408 ,4733 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2783 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,896 ,0 ,23124 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6564 ,0 ,3787 ,0 ,0 ,0 ,0 ,0 ,6900 ,16 ,399 ,90 ,10950 ,22418 ,0 ,9684 ,0 ,0 ,0 ,662 
M,3,1476 ,0 ,197413 ,6814 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5740 ,430 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,841 ,359 ,89869 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6420 ,0 ,7231 ,0 ,0 ,0 ,0 ,0 ,6985 ,0 ,164 ,82 ,0 ,26649 ,0 ,9385 ,0 ,0 ,0 ,0 
M,4,3685 ,0 ,301573 ,7182 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10288 ,598 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2182 ,1743 ,266892 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9389 ,0 ,15848 ,0 ,0 ,0 ,0 ,0 ,10325 ,56 ,97 ,17 ,0 ,19861 ,14219 ,10169 ,0 ,0 ,0 ,0 
M,5,5539 ,0 ,358217 ,18192 ,814 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12821 ,702 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1685 ,1089 ,203123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10424 ,0 ,13464 ,13 ,0 ,0 ,0 ,0 ,12304 ,35 ,16 ,0 ,0 ,0 ,35659 ,9832 ,0 ,0 ,0 ,0 
M,6,7824 ,0 ,329015 ,15539 ,1462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16154 ,1285 ,162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2190 ,1000 ,169718 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10128 ,0 ,12199 ,18 ,0 ,0 ,0 ,0 ,12446 ,88 ,33 ,49 ,0 ,0 ,28481 ,7980 ,23 ,0 ,0 ,137 
M,7,12247 ,0 ,446330 ,15417 ,1469 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18607 ,1850 ,119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2079 ,1495 ,183905 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13080 ,0 ,14672 ,23 ,0 ,0 ,0 ,0 ,14927 ,214 ,10 ,0 ,0 ,0 ,31205 ,11337 ,0 ,0 ,0 ,0 
M,8,22274 ,0 ,735494 ,27908 ,1741 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,105 ,0 ,44524 ,4044 ,264 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2929 ,2288 ,238734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18538 ,0 ,21029 ,58 ,0 ,0 ,0 ,0 ,21237 ,211 ,0 ,0 ,0 ,0 ,32037 ,16149 ,0 ,0 ,0 ,0 
M,9,46895 ,0 ,1259164 ,47058 ,2809 ,1100 ,461 ,0 ,5370 ,341 ,286 ,578 ,216 ,210 ,76823 ,6442 ,945 ,199 ,0 ,0 ,390 ,0 ,0 ,0 ,0 ,0 ,5005 ,3090 ,353505 ,0 ,0 ,0 ,0 ,153 ,0 ,0 ,0 ,0 ,30495 ,0 ,30734 ,1101 ,0 ,37 ,330 ,161 ,30332 ,608 ,12 ,0 ,0 ,0 ,37189 ,23779 ,0 ,0 ,0 ,0 
M,10,93201 ,138 ,2469842 ,79764 ,8022 ,2714 ,733 ,206 ,14486 ,1349 ,0 ,1964 ,679 ,455 ,145442 ,10876 ,2486 ,0 ,0 ,144 ,1132 ,0 ,0 ,128 ,0 ,0 ,12720 ,4382 ,582770 ,231 ,176 ,0 ,910 ,124 ,0 ,154 ,0 ,238 ,50236 ,490 ,52900 ,2859 ,0 ,56 ,902 ,399 ,53303 ,1218 ,55 ,0 ,0 ,0 ,42459 ,49928 ,196 ,0 ,0 ,0 
M,11,147484 ,153 ,3602650 ,106688 ,10896 ,3415 ,1366 ,599 ,24805 ,2331 ,590 ,2547 ,1932 ,430 ,238530 ,20572 ,3531 ,294 ,150 ,223 ,2307 ,232 ,0 ,750 ,316 ,134 ,17504 ,8008 ,856975 ,831 ,612 ,0 ,3899 ,0 ,0 ,623 ,0 ,0 ,93184 ,964 ,76716 ,5394 ,0 ,99 ,1601 ,806 ,74876 ,2033 ,16 ,71 ,0 ,0 ,39556 ,85910 ,723 ,0 ,0 ,201 
M,12,185516 ,720 ,4282250 ,154091 ,12854 ,7983 ,2574 ,987 ,43513 ,3903 ,487 ,4945 ,2477 ,1032 ,346319 ,34956 ,5991 ,1447 ,651 ,0 ,4442 ,1898 ,384 ,1074 ,269 ,303 ,26622 ,10493 ,1112935 ,1244 ,598 ,240 ,5113 ,603 ,0 ,648 ,362 ,319 ,142000 ,655 ,95652 ,7627 ,0 ,181 ,2311 ,1143 ,94669 ,2405 ,29 ,0 ,0 ,0 ,35802 ,130401 ,632 ,0 ,0 ,161 
M,13,240827 ,344 ,5236088 ,202668 ,22248 ,11487 ,3908 ,2031 ,70677 ,6413 ,1703 ,7455 ,5285 ,1843 ,576815 ,52312 ,9498 ,2149 ,935 ,500 ,10616 ,2267 ,451 ,1979 ,826 ,147 ,40819 ,16680 ,1539349 ,2946 ,714 ,382 ,12919 ,532 ,409 ,2266 ,654 ,351 ,242675 ,2026 ,130078 ,12390 ,0 ,239 ,3759 ,1924 ,127027 ,3186 ,36 ,0 ,0 ,0 ,26866 ,224894 ,2826 ,0 ,0 ,723 
M,14,343891 ,667 ,7014445 ,293190 ,32249 ,18797 ,8293 ,2259 ,123675 ,16252 ,2289 ,10705 ,9960 ,2893 ,992301 ,97685 ,15292 ,7102 ,2555 ,526 ,27951 ,6533 ,1200 ,3624 ,2217 ,1068 ,64721 ,22820 ,2248010 ,6104 ,1812 ,929 ,28892 ,3723 ,896 ,6138 ,1087 ,1262 ,488678 ,4010 ,188366 ,24908 ,0 ,403 ,8034 ,4159 ,202343 ,4298 ,41 ,0 ,0 ,0 ,22398 ,380074 ,5988 ,0 ,0 ,623 
M,15,611443 ,1552 ,11794440 ,513151 ,63468 ,35579 ,18415 ,4342 ,233933 ,33528 ,5461 ,20641 ,20189 ,7578 ,2184214 ,208025 ,34565 ,12829 ,5093 ,2077 ,72146 ,14532 ,2701 ,9872 ,5279 ,1681 ,120661 ,41626 ,3965785 ,13002 ,4301 ,1806 ,60231 ,6235 ,2664 ,11436 ,3239 ,2011 ,1085159 ,8262 ,331909 ,52791 ,0 ,821 ,18430 ,8828 ,440119 ,7871 ,25 ,0 ,0 ,0 ,13194 ,668352 ,16168 ,16 ,0 ,1029 
M,16,672955 ,1615 ,11753169 ,543887 ,65054 ,38989 ,20399 ,6718 ,249602 ,32547 ,5444 ,20585 ,20917 ,7821 ,2807851 ,264397 ,47459 ,19860 ,8087 ,2280 ,106079 ,24554 ,4506 ,12889 ,8342 ,2078 ,140588 ,47340 ,4445550 ,15825 ,5803 ,1766 ,80428 ,7150 ,3141 ,10996 ,3949 ,2053 ,1480325 ,13304 ,353836 ,63160 ,0 ,900 ,23792 ,10614 ,558772 ,8654 ,29 ,0 ,0 ,0 ,6736 ,659168 ,30747 ,0 ,0 ,1610 
M,17,748705 ,2964 ,12210034 ,610204 ,74589 ,45250 ,24260 ,8710 ,308564 ,50529 ,7318 ,26411 ,28355 ,9007 ,3835530 ,396038 ,69828 ,27394 ,11013 ,3168 ,154280 ,34089 ,6514 ,15470 ,12421 ,4111 ,208250 ,62742 ,5574120 ,23120 ,9402 ,3230 ,119861 ,12144 ,4396 ,17700 ,6437 ,2804 ,1934002 ,19235 ,386507 ,83428 ,0 ,1019 ,34249 ,13895 ,764315 ,9452 ,14 ,0 ,0 ,0 ,5992 ,562349 ,45119 ,0 ,0 ,1393 
M,18,668750 ,4190 ,9038079 ,531365 ,67902 ,41894 ,23622 ,9128 ,251996 ,44427 ,7535 ,24451 ,28844 ,7916 ,4104218 ,455971 ,80207 ,32024 ,14635 ,3799 ,180929 ,47503 ,8945 ,17679 ,15000 ,4696 ,207090 ,66177 ,5587709 ,27577 ,10423 ,2532 ,144985 ,13175 ,4722 ,18872 ,6469 ,3257 ,2028720 ,24935 ,332155 ,84267 ,0 ,952 ,36953 ,13980 ,820714 ,8225 ,0 ,0 ,0 ,0 ,2265 ,328153 ,50205 ,0 ,0 ,1265 
M,19,439106 ,4549 ,3783252 ,312494 ,44391 ,26984 ,16871 ,6591 ,112445 ,26184 ,5335 ,12907 ,20428 ,4567 ,2951011 ,375450 ,68733 ,25453 ,10851 ,2964 ,141401 ,38475 ,7278 ,13282 ,11117 ,2575 ,186699 ,49586 ,3787077 ,24554 ,9248 ,3171 ,119354 ,12108 ,2671 ,17416 ,7118 ,2634 ,1602892 ,19300 ,213111 ,56807 ,0 ,584 ,27586 ,9673 ,619478 ,4651 ,0 ,0 ,0 ,0 ,1045 ,123052 ,27229 ,0 ,0 ,562 
F,1,6085 ,0 ,141015 ,4976 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3201 ,285 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,162 ,0 ,5669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22375 ,0 ,5171 ,0 ,0 ,0 ,0 ,0 ,6831 ,10 ,67 ,21 ,19716 ,0 ,0 ,8585 ,0 ,0 ,0 ,0 
F,2,1039 ,0 ,120814 ,3018 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2290 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1032 ,0 ,15546 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5614 ,0 ,2886 ,0 ,0 ,0 ,0 ,0 ,5485 ,0 ,296 ,103 ,4771 ,17480 ,0 ,6313 ,0 ,0 ,0 ,331 
F,3,1246 ,0 ,150319 ,2942 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7286 ,564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1659 ,541 ,78959 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4764 ,0 ,5622 ,0 ,0 ,0 ,0 ,0 ,5107 ,0 ,226 ,100 ,0 ,21704 ,0 ,7170 ,0 ,0 ,0 ,0 
