	総数	科学的介護推進情報	科学的介護推進情報（既往歴情報）	科学的介護推進情報（服薬情報）	個別機能訓練計画情報	生活機能チェック情報	ADL維持等情報	リハビリテーション計画書（医療介護共通部分）	リハビリテーション計画書（介護）	褥瘡マネジメント情報	排せつ支援情報	自立支援促進情報	薬剤変更情報	栄養・摂食嚥下情報	口腔衛生管理情報	口腔機能向上サービス管理情報
介護老人福祉施設	4201690	448380	1488910	955390	229160	218390	138340	0	0	205060	117680	70530	0	248830	81040	0
地域密着型介護老人福祉施設	442350	46400	154680	120650	12840	12210	12770	0	0	20120	12500	7470	0	33460	9240	0
介護老人保健施設	5244930	385870	1248740	1925240	0	0	0	311810	310290	267400	218360	144200	126970	222890	83160	0
介護医療院	468680	37580	103960	171720	0	0	0	24650	21970	24750	16570	11710	22720	22830	10230	0
通所介護	2418050	823040	0	0	523970	512770	427680	0	0	0	0	0	0	50250	0	80350
地域密着型通所介護	583760	195660	0	0	131770	126650	86190	0	0	0	0	0	0	9960	0	33540
認知症対応型通所介護	63150	31860	0	0	8180	8110	10490	0	0	0	0	0	0	3230	0	1280
特定施設入居者生活介護	267340	127980	0	0	38340	39340	61680	0	0	0	0	0	0	0	0	0
地域密着型特定施設入居者生活介護	6150	3560	0	0	640	640	1300	0	0	0	0	0	0	0	0	0
認知症対応型共同生活介護	88540	88540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
小規模多機能型居宅介護	51860	51860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
看護小規模多機能型居宅介護	23710	14330	0	0	0	0	0	0	0	2710	3170	0	0	1830	0	1680
通所リハビリテーション	785460	339410	0	0	0	0	0	177710	179630	0	0	0	0	71000	0	17710
訪問リハビリテーション	67930	0	0	0	0	0	0	33640	34290	0	0	0	0	0	0	0
介護予防認知症対応型通所介護	820	460	0	0	140	130	0	0	0	0	0	0	0	80	0	10
介護予防特定施設入居者生活介護	27410	16890	0	0	5230	5300	0	0	0	0	0	0	0	0	0	0
介護予防認知症対応型共同生活介護	830	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
介護予防小規模多機能型居宅介護	4950	4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0
介護予防通所リハビリテーション	137420	116170	0	0	0	0	0	0	0	0	0	0	0	18210	0	3040
